,Airport,Nflights
0,ATL,696701
1,DFW,555408
2,DEN,531394
3,ORD,524830
4,CLT,459171
5,LAX,343245
6,PHX,318604
7,DTW,279352
8,MSP,274412
9,SLC,263167
10,LAS,235844
11,LGA,226651
12,SFO,226030
13,BOS,218322
14,MCO,217666
15,DCA,210741
16,JFK,203746
17,EWR,196846
18,MIA,193188
19,IAH,191160
20,PHL,170525
21,BWI,169048
22,SEA,162573
23,BNA,160868
24,MDW,155869
25,DAL,139075
26,FLL,136332
27,SAN,133171
28,TPA,132470
29,AUS,130849
30,STL,114298
31,HOU,108434
32,RDU,94923
33,IAD,92810
34,SMF,92652
35,SJC,85351
36,MCI,81935
37,OAK,78445
38,MSY,78064
39,RSW,75211
40,IND,74692
41,SNA,70355
42,CMH,70272
43,PIT,70182
44,PDX,69869
45,SAT,64248
46,CLE,62387
47,CVG,61814
48,JAX,52571
49,SJU,50440
50,MKE,50256
51,CHS,47482
52,BUR,47074
53,PBI,46776
54,OMA,44245
55,HNL,44153
56,BDL,41833
57,BOI,40568
58,ORF,39612
59,ONT,39465
60,MEM,39137
61,OKC,38932
62,RNO,37687
63,ABQ,37453
64,SDF,35606
65,BUF,34373
66,RIC,33963
67,SAV,32903
68,TUS,31898
69,GRR,29730
70,BHM,29730
71,GEG,27657
72,DSM,27515
73,TUL,27337
74,LGB,26398
75,SRQ,25588
76,GSP,25366
77,PVD,25050
78,PSP,24851
79,OGG,24446
80,ELP,24026
81,PNS,23969
82,COS,22250
83,LIT,22098
84,FAT,21955
85,MSN,21594
86,TYS,21431
87,ROC,21040
88,ALB,20263
89,PWM,19639
90,BZN,19492
91,SYR,19295
92,GSO,18903
93,EYW,18885
94,XNA,18772
95,MYR,18174
96,DAY,16867
97,ICT,16632
98,ECP,16555
99,HPN,16215
100,VPS,15445
101,HSV,15127
102,SGF,14747
103,JAN,14567
104,CID,14084
105,KOA,14015
106,LEX,13743
107,ILM,13627
108,ASE,13453
109,EUG,13061
110,CAE,12825
111,JAC,12527
112,SBA,12429
113,MHT,12305
114,BTV,12169
115,CHA,12086
116,AVL,11854
117,STT,11585
118,FSD,11460
119,MAF,11356
120,RDM,11353
121,FWA,11335
122,SBN,11263
123,TLH,11164
124,FAR,11129
125,MFR,10861
126,SHV,10140
127,LIH,10088
128,SBP,9918
129,BTR,9768
130,RAP,9480
131,GRB,9336
132,MDT,9311
133,GJT,9147
134,ATW,9143
135,TVC,9088
136,AGS,9009
137,LBB,8997
138,FCA,8746
139,GNV,8719
140,ANC,8487
141,BIL,8423
142,MSO,8262
143,PSC,8237
144,SGU,7999
145,BIS,7972
146,AMA,7761
147,DRO,7498
148,CRP,7261
149,BGR,7247
150,DAB,7246
151,ABE,7147
152,GPT,7098
153,IDA,7072
154,FAY,6772
155,CHO,6709
156,EGE,6600
157,MLI,6580
158,HHH,6513
159,CRW,6495
160,OAJ,6455
161,HRL,6375
162,MOB,6354
163,LFT,6023
164,MRY,5992
165,TRI,5938
166,MGM,5817
167,RST,5807
168,MTJ,5782
169,ISP,5729
170,MLB,5727
171,GRK,5570
172,EVV,5559
173,AEX,5547
174,MOT,5462
175,HDN,5356
176,STS,5311
177,MFE,5271
178,LAN,5117
179,ABI,5071
180,MLU,5069
181,GTF,4865
182,CAK,4800
183,FLG,4744
184,CWA,4716
185,AVP,4653
186,DLH,4635
187,FNT,4509
188,AZO,4456
189,LSE,4429
190,SJT,4071
191,PIA,4068
192,ACV,3996
193,CPR,3872
194,SUN,3833
195,SAF,3822
196,BFL,3774
197,BMI,3745
198,CMI,3661
199,ITO,3590
200,EWN,3589
201,ACT,3573
202,ROA,3436
203,MBS,3405
204,CSG,3392
205,FSM,3322
206,YUM,3295
207,MHK,3278
208,COU,3210
209,MQT,3183
210,CLL,3140
211,LRD,3070
212,TYR,3054
213,BRO,3030
214,GFK,2908
215,HLN,2846
216,ACK,2659
217,SPS,2588
218,VLD,2564
219,LAW,2526
220,ROW,2525
221,RDD,2511
222,DHN,2508
223,XWA,2486
224,GTR,2476
225,TXK,2395
226,LCH,2352
227,ABY,2348
228,BQK,2341
229,LWS,2334
230,JMS,2293
231,TWF,2271
232,STX,2251
233,BQN,2219
234,PHF,2138
235,PLN,2113
236,ELM,2091
237,BPT,2064
238,LNK,2060
239,SPI,2040
240,EAR,2033
241,FAI,2007
242,RHI,2001
243,PIH,1989
244,GGG,1982
245,PRC,1951
246,SUX,1945
247,JLN,1879
248,ABR,1843
249,PAH,1827
250,IMT,1823
251,CIU,1821
252,BJI,1817
253,SLN,1810
254,CKB,1799
255,HYS,1794
256,MVY,1776
257,SHD,1775
258,COD,1747
259,GCK,1737
260,EAU,1725
261,ORH,1721
262,GRI,1711
263,CMX,1707
264,BFF,1706
265,MEI,1665
266,GUM,1663
267,BTM,1662
268,ESC,1659
269,SCE,1654
270,PUB,1645
271,LBF,1642
272,CNY,1637
273,GCC,1631
274,MKG,1618
275,BRD,1597
276,DEC,1595
277,HIB,1546
278,PIB,1545
279,APN,1544
280,LWB,1531
281,INL,1521
282,DVL,1519
283,CGI,1510
284,SHR,1501
285,LBL,1495
286,GUC,1490
287,VEL,1486
288,SWO,1485
289,LAR,1476
290,DRT,1446
291,DDC,1434
292,EKO,1417
293,CDC,1395
294,OGS,1384
295,DBQ,1379
296,ALO,1366
297,ITH,1319
298,RKS,1311
299,PBG,1284
300,ERI,1259
301,RIW,1249
302,TOL,1218
303,ATY,1174
304,PIR,1163
305,JST,1095
306,VCT,1041
307,BGM,993
308,LYH,959
309,ALS,950
310,HOB,939
311,WYS,842
312,PAE,835
313,FOD,832
314,MCW,829
315,OTH,805
316,BLI,787
317,PSE,743
318,SPN,716
319,CYS,670
320,HVN,561
321,TBN,462
322,DIK,380
323,SWF,309
324,BIH,286
325,KTN,253
326,JNU,244
327,SIT,239
328,MMH,199
329,HYA,194
330,SCK,156
331,IPT,71
332,UIN,10
